bankCode,bankName,dest
0,Agency Banking Services,C:/python_work/bvn_user_actitities/destination/
1,CBN,C:/python_work/bvn_user_actitities/destination/
9,FHA MORTGAGE BANK,C:/python_work/bvn_user_actitities/destination/
011,FIRST BANK,C:/python_work/bvn_user_actitities/destination/
14,MAINSTREET BANK,C:/python_work/bvn_user_actitities/destination/
23,CITIBANK,C:/python_work/bvn_user_actitities/destination/
30,HERITAGE BANK,C:/python_work/bvn_user_actitities/destination/
32,UNION BANK,C:/python_work/bvn_user_actitities/destination/
33,UBA,C:/python_work/bvn_user_actitities/destination/
33,UNICAL MFB LTD,C:/python_work/bvn_user_actitities/destination/
35,WEMA BANK,C:/python_work/bvn_user_actitities/destination/
044,ACCESS BANK,C:/python_work/bvn_user_actitities/
50,ECOBANK NIGERIA,C:/python_work/bvn_user_actitities/destination/
57,ZENITH  BANK,C:/python_work/bvn_user_actitities/destination/
058,GUARANTY TRUST BANK,C:/python_work/bvn_user_actitities/
63,DIAMOND BANK,C:/python_work/bvn_user_actitities/destination/
68,STANDARD CHARTERED BANK,C:/python_work/bvn_user_actitities/destination/
70,FIDELITY BANK,C:/python_work/bvn_user_actitities/destination/
76,POLARIS BANK,C:/python_work/bvn_user_actitities/destination/
82,KEYSTONE BANK,C:/python_work/bvn_user_actitities/destination/
84,ENTERPRISE BANK,C:/python_work/bvn_user_actitities/destination/
88,FINANCE AND COMMERCIAL SERVICES LIMITED,C:/python_work/bvn_user_actitities/destination/
100,SunTrust Bank,C:/python_work/bvn_user_actitities/destination/
101,PROVIDUS BANK,C:/python_work/bvn_user_actitities/destination/
102,TITAN TRUST BANK,C:/python_work/bvn_user_actitities/destination/
103,GLOBUS BANK LIMITED,C:/python_work/bvn_user_actitities/destination/
104,PARALLEX BANK,C:/python_work/bvn_user_actitities/destination/
105,PREMIUM TRUST BANK,C:/python_work/bvn_user_actitities/destination/
106,SIGNATURE BANK LIMITED,C:/python_work/bvn_user_actitities/destination/
107,Optimus Bank,C:/python_work/bvn_user_actitities/destination/
111,ABU MICROFINANCE BANK NIG LTD,C:/python_work/bvn_user_actitities/destination/
123,ARM FINANCIAL ADVISERS LTD,C:/python_work/bvn_user_actitities/destination/
124,INVESTORS AND TRUST COMPANY LIMITED,C:/python_work/bvn_user_actitities/destination/
140,BLUEPRINT INVESTMENTS MFB LTD,C:/python_work/bvn_user_actitities/destination/
212,Independent National Electoral Commission,C:/python_work/bvn_user_actitities/destination/
214,FIRST CITY MONUMENT BANK,C:/python_work/bvn_user_actitities/destination/
215,UNITY BANK,C:/python_work/bvn_user_actitities/destination/
221,STANBIC IBTC BANK,C:/python_work/bvn_user_actitities/destination/
232,STERLING BANK,C:/python_work/bvn_user_actitities/destination/
301,JAIZ BANK,C:/python_work/bvn_user_actitities/destination/
302,TAJBank,C:/python_work/bvn_user_actitities/destination/
333,Stanford Microfinance Bank Ltd,C:/python_work/bvn_user_actitities/destination/
345,Al-Barakah Microfinance Bank Limited,C:/python_work/bvn_user_actitities/destination/
445,Ibom Fadama Microfinance Bank Ltd,C:/python_work/bvn_user_actitities/destination/
501,FSDH,C:/python_work/bvn_user_actitities/destination/
502,RAND MERCHANT BANK,C:/python_work/bvn_user_actitities/destination/
559,CORONATION MERCHANT BANK,C:/python_work/bvn_user_actitities/destination/
561,del_Nova Merchant Bank,C:/python_work/bvn_user_actitities/destination/
723,Sparkle Mocrofinance Bank,C:/python_work/bvn_user_actitities/destination/
772,CEMCS MICROFINANCE BANK LIMITED,C:/python_work/bvn_user_actitities/destination/
800,ONE CREDIT,C:/python_work/bvn_user_actitities/destination/
801,CORONATION MERCHANT BANK,C:/python_work/bvn_user_actitities/destination/
802,C24 LIMITED,C:/python_work/bvn_user_actitities/destination/
803,Brent MB Limited,C:/python_work/bvn_user_actitities/destination/
804,Abbey MB Plc,C:/python_work/bvn_user_actitities/destination/
805,Refuge Home Savings  & Loans Ltd,C:/python_work/bvn_user_actitities/destination/
806,Greenwich Securities Limited,C:/python_work/bvn_user_actitities/destination/
807,Afrinvest Securities Limited,C:/python_work/bvn_user_actitities/destination/
808,Capital Assets Limited,C:/python_work/bvn_user_actitities/destination/
809,GTI Securities LTD,C:/python_work/bvn_user_actitities/destination/
