bankCode,bankName,dest
0,AgencyBankingServices,C:/python_work/bvn_user_actitities/destination/
1,CBN,C:/python_work/bvn_user_actitities/destination/
9,FHAMORTGAGEBANK,C:/python_work/bvn_user_actitities/destination/
011,FIRSTBANK,C:/python_work/bvn_user_actitities/destination/
14,MAINSTREETBANK,C:/python_work/bvn_user_actitities/destination/
23,CITIBANK,C:/python_work/bvn_user_actitities/destination/
24,U&CMicrofinanceBankLtd,C:/python_work/bvn_user_actitities/destination/
30,HERITAGEBANK,C:/python_work/bvn_user_actitities/destination/
32,UNIONBANK,C:/python_work/bvn_user_actitities/destination/
33,UBA,C:/python_work/bvn_user_actitities/destination/
33,UNICALMFBLTD,C:/python_work/bvn_user_actitities/destination/
35,WEMABANK,C:/python_work/bvn_user_actitities/destination/
44,ACCESSBANK,C:/python_work/bvn_user_actitities/destination/
50,ECOBANKNIGERIA,C:/python_work/bvn_user_actitities/destination/
57,ZENITHBANK,C:/python_work/bvn_user_actitities/destination/
058,GUARANTYTRUSTBANK,C:/python_work/bvn_user_actitities/destination/
63,DIAMONDBANK,C:/python_work/bvn_user_actitities/destination/
68,STANDARDCHARTEREDBANK,C:/python_work/bvn_user_actitities/destination/
70,FIDELITYBANK,C:/python_work/bvn_user_actitities/destination/
76,POLARISBANK,C:/python_work/bvn_user_actitities/destination/
82,KEYSTONEBANK,C:/python_work/bvn_user_actitities/destination/
84,ENTERPRISEBANK,C:/python_work/bvn_user_actitities/destination/
88,FINANCEANDCOMMERCIALSERVICESLIMITED,C:/python_work/bvn_user_actitities/destination/
100,SunTrustBank,C:/python_work/bvn_user_actitities/destination/
101,PROVIDUSBANK,C:/python_work/bvn_user_actitities/destination/
102,TITANTRUSTBANK,C:/python_work/bvn_user_actitities/destination/
103,GLOBUSBANKLIMITED,C:/python_work/bvn_user_actitities/destination/
104,PARALLEXBANK,C:/python_work/bvn_user_actitities/destination/
105,PREMIUMTRUSTBANK,C:/python_work/bvn_user_actitities/destination/
106,SIGNATUREBANKLIMITED,C:/python_work/bvn_user_actitities/destination/
107,OptimusBank,C:/python_work/bvn_user_actitities/destination/
111,ABUMICROFINANCEBANKNIGLTD,C:/python_work/bvn_user_actitities/destination/
123,ARMFINANCIALADVISERSLTD,C:/python_work/bvn_user_actitities/destination/
124,INVESTORSANDTRUSTCOMPANYLIMITED,C:/python_work/bvn_user_actitities/destination/
140,BLUEPRINTINVESTMENTSMFBLTD,C:/python_work/bvn_user_actitities/destination/
212,IndependentNationalElectoralCommission,C:/python_work/bvn_user_actitities/destination/
214,FIRSTCITYMONUMENTBANK,C:/python_work/bvn_user_actitities/destination/
215,UNITYBANK,C:/python_work/bvn_user_actitities/destination/
221,STANBICIBTCBANK,C:/python_work/bvn_user_actitities/destination/
232,STERLINGBANK,C:/python_work/bvn_user_actitities/destination/
301,JAIZBANK,C:/python_work/bvn_user_actitities/destination/
302,TAJBank,C:/python_work/bvn_user_actitities/destination/
333,StanfordMicrofinanceBankLtd,C:/python_work/bvn_user_actitities/destination/
345,Al-BarakahMicrofinanceBankLimited,C:/python_work/bvn_user_actitities/destination/
445,IbomFadamaMicrofinanceBankLtd,C:/python_work/bvn_user_actitities/destination/
501,FSDH,C:/python_work/bvn_user_actitities/destination/
502,RANDMERCHANTBANK,C:/python_work/bvn_user_actitities/destination/
559,CORONATIONMERCHANTBANK,C:/python_work/bvn_user_actitities/destination/
561,del_NovaMerchantBank,C:/python_work/bvn_user_actitities/destination/
723,SparkleMocrofinanceBank,C:/python_work/bvn_user_actitities/destination/
772,CEMCSMICROFINANCEBANKLIMITED,C:/python_work/bvn_user_actitities/destination/
800,ONECREDIT,C:/python_work/bvn_user_actitities/destination/
801,CORONATIONMERCHANTBANK,C:/python_work/bvn_user_actitities/destination/
802,C24LIMITED,C:/python_work/bvn_user_actitities/destination/
803,BrentMBLimited,C:/python_work/bvn_user_actitities/destination/
804,AbbeyMBPlc,C:/python_work/bvn_user_actitities/destination/
805,RefugeHomeSavings&LoansLtd,C:/python_work/bvn_user_actitities/destination/
806,GreenwichSecuritiesLimited,C:/python_work/bvn_user_actitities/destination/
807,AfrinvestSecuritiesLimited,C:/python_work/bvn_user_actitities/destination/
